Table 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by State, 2020", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2020
estimated 
population",
ALABAMA5  ,Under 18,40,6,9,0,0,1,5,4,5,0,0,7,0,1,0,0,3,0,0,0,2,0,0,0,2,0,2,0,8,0,0,7,"66,582",
,Total all ages,"2,050",104,189,8,7,11,78,47,127,14,1,158,24,43,2,19,19,14,0,11,131,0,20,76,16,44,23,0,"1,157",0,0,,,
ALASKA,Under 18,"1,052",146,198,3,21,17,105,69,68,53,8,300,0,9,1,0,131,11,0,11,56,0,0,32,47,0,10,0,100,0,0,31,"719,120",
,Total all ages,"26,353","2,598","2,396",33,160,287,"2,118",471,"1,545",338,42,"4,591",53,199,35,66,"1,063",332,1,242,808,0,101,"3,008",275,19,655,44,"9,865",2,0,,,
ARIZONA,Under 18,"13,454","1,049","1,865",22,40,320,667,343,"1,219",273,30,"2,707",6,34,6,88,"1,165",281,5,216,"1,432",9,85,124,615,32,"1,040",38,"2,101",1,555,86,"6,456,926",
,Total all ages,"187,255","11,663","26,624",340,322,"1,872","9,129","3,521","21,221","1,670",212,"23,451",610,"1,462",345,"1,022","8,781","3,600",368,"1,051","21,945",9,"1,595","14,909","3,567","1,291","11,128",572,"52,697",10,555,,,
ARKANSAS,Under 18,"5,173",415,920,25,49,80,261,205,647,62,6,"1,060",6,27,1,166,189,96,1,13,562,0,5,43,88,30,351,0,"1,034",0,166,249,"2,730,633",
,Total all ages,"96,862","5,534","10,925",195,281,437,"4,621","1,702","8,608",553,62,"10,858",618,625,29,"1,672","1,518","1,008",17,77,"15,294",8,253,"4,938",872,"3,123","2,027",300,"37,000",0,166,,,
CALIFORNIA ,Under 18,"23,588","4,643","3,820",79,150,"1,953","2,461","1,563","1,259",920,78,"3,910",23,113,9,590,"1,470","1,734",5,434,"1,184",1,3,437,443,267,359,33,"3,715",0,395,673,"38,994,766",
,Total all ages,"847,606","100,579","72,990","1,594","2,060","13,636","83,289","26,220","28,350","16,369","2,051","68,962","2,753","5,042",680,"14,631","17,493","28,407","4,453","7,258","185,985",675,308,"95,778","2,728","35,841","2,636","3,289","196,723",0,395,,,
COLORADO,Under 18,"9,095",706,"1,632",32,76,215,383,199,"1,081",301,51,"1,015",6,43,6,16,597,176,0,63,812,0,21,232,609,2,635,0,"2,221",0,303,197,"5,074,548",
,Total all ages,"145,095","8,659","21,458",236,441,"1,199","6,783","2,649","15,064","3,452",293,"15,449",488,"1,820",39,654,"5,215","2,341",113,300,"9,231",0,"1,764","14,421","3,396",34,"4,221",89,"55,100",0,303,,,
CONNECTICUT,Under 18,"3,791",232,956,10,23,103,96,132,569,244,11,761,8,14,4,152,189,73,0,29,203,1,21,16,9,0,607,0,515,0,1,107,"3,557,006",
,Total all ages,"68,484","2,664","8,799",105,188,589,"1,782","1,146","6,919",667,67,"14,921",294,563,75,332,"1,529","1,022",42,291,"4,422",7,"1,706","5,151",59,0,"8,711",41,"17,854",0,1,,,
DELAWARE,Under 18,"1,862",215,382,1,11,90,113,132,184,59,7,459,1,27,2,89,124,56,0,16,96,0,0,2,22,6,84,0,257,0,24,54,"984,527",
,Total all ages,"24,636","1,796","4,147",17,74,315,"1,390",643,"3,327",159,18,"5,392",122,827,92,346,850,343,31,99,"3,308",9,147,294,198,238,782,142,"5,449",0,24,,,
DISTRICT OF COLUMBIA6,Under 18,263,64,28,0,0,57,7,0,25,3,0,59,0,0,0,6,1,6,0,0,1,0,0,0,0,0,14,0,84,0,0,2,0,
,Total all ages,"4,093",205,85,2,3,121,79,1,73,11,0,373,0,2,0,19,48,43,0,30,274,0,1,1,608,14,216,1,"2,173",0,0,,,
"FLORIDA7, 8",Under 18,"31,471","2,702","8,802",73,216,"1,012","1,401","2,313","4,584","1,866",39,"5,816",24,263,15,160,648,717,1,248,"1,537",0,0,134,282,0,0,0,"10,122",0,0,572,"21,634,872",
,Total all ages,"506,402","34,186","66,397",840,"1,815","5,464","26,067","12,554","46,430","7,156",257,"75,236","1,207","8,216",647,"1,301","5,791","7,470",940,"2,921","68,471",109,0,"29,073","5,993",0,0,0,"198,444",0,0,,,
GEORGIA,Under 18,"6,383",538,"1,190",15,55,120,348,222,839,121,8,"1,259",18,56,0,133,335,170,3,74,604,1,16,75,29,2,400,0,"1,374",0,106,289,"6,073,704",
,Total all ages,"110,543","6,002","11,561",202,282,505,"5,013","1,387","9,355",717,102,"11,906",695,"1,653",8,"1,322","2,642","1,235",107,362,"17,294",9,686,"12,808",569,561,"5,171",823,"35,023",0,106,,,
HAWAII,Under 18,340,19,35,1,4,3,11,7,22,5,1,39,0,1,0,0,13,0,0,0,32,0,3,5,16,0,2,0,104,0,71,2,"273,390",
,Total all ages,"10,996",773,"1,089",26,54,405,288,176,709,186,18,709,13,45,1,0,146,161,13,23,847,1,3,"1,067",76,0,496,0,"5,462",0,71,,,
IDAHO,Under 18,"3,912",141,591,5,37,5,94,104,437,32,18,439,0,33,2,15,185,37,0,47,566,0,14,99,167,20,165,1,"1,300",7,83,98,"1,660,406",
,Total all ages,"45,397","1,738","3,371",68,145,58,"1,467",593,"2,584",149,45,"3,330",58,403,34,176,725,273,11,197,"9,153",0,529,"6,713",984,420,"1,425",26,"15,730",18,83,,,
ILLINOIS7,Under 18,456,37,37,1,1,23,12,7,23,2,5,65,0,0,0,24,32,22,0,0,56,0,0,1,5,0,79,0,82,0,16,1,"144,795",
,Total all ages,"5,615",407,434,13,15,53,326,49,355,13,17,"1,013",5,27,0,57,341,160,1,14,280,0,140,231,28,0,445,3,"2,013",0,16,,,
INDIANA,Under 18,"4,298",404,684,10,25,137,232,98,447,133,6,778,6,13,7,46,126,139,0,44,418,0,11,49,180,19,149,0,"1,175",0,50,109,"3,535,979",
,Total all ages,"75,450","3,978","7,915",130,142,648,"3,058","1,004","5,975",884,52,"8,426",515,626,79,376,479,"2,274",36,253,"11,978",2,299,"8,874",903,819,"1,880",34,"25,651",3,50,,,
IOWA,Under 18,"7,019",490,"1,550",6,57,84,343,254,"1,029",237,30,"1,263",11,33,6,53,550,89,0,20,721,0,4,93,481,65,419,0,"1,085",0,86,216,"2,850,739",
,Total all ages,"78,092","5,129","9,056",56,258,279,"4,536","1,446","6,862",642,106,"7,260",393,455,40,285,"2,049",914,11,93,"8,166",2,906,"9,190","2,071","2,483","1,922",6,"27,575",0,86,,,
KANSAS,Under 18,"3,248",125,366,8,12,15,90,37,287,37,5,555,3,11,0,43,213,18,1,21,549,0,10,103,474,0,86,0,670,0,0,220,"1,700,866",
,Total all ages,"46,140","1,619","3,542",46,83,88,"1,402",380,"2,853",272,37,"6,137",147,350,22,515,"1,364",384,30,108,"7,837",0,221,"6,192","1,568",87,929,0,"15,087",1,0,,,
KENTUCKY,Under 18,"1,920",158,495,4,31,63,60,143,250,96,6,485,3,5,8,104,62,37,0,13,190,0,0,28,1,23,28,0,280,0,0,336,"3,713,933",
,Total all ages,"141,158","2,105","9,318",109,226,426,"1,344","2,006","6,535",712,65,"9,965",477,779,273,"1,558",963,407,15,177,"17,118",0,"3,403","12,122",31,"9,101","2,900",2,"70,444",0,0,,,
LOUISIANA,Under 18,"8,590",754,"1,804",46,52,189,467,714,872,208,10,"1,493",2,44,3,328,343,322,1,62,588,6,55,18,45,33,958,30,"1,544",1,156,114,"3,362,830",
,Total all ages,"116,373","8,721","18,062",329,313,910,"7,169","3,653","13,334",996,79,"15,397",357,884,82,"2,101","2,976","3,508",207,711,"20,052",46,838,"3,778","1,014","1,115","4,742",145,"31,465",16,156,,,
MAINE,Under 18,"1,689",37,388,0,6,13,18,93,219,55,21,349,0,9,1,3,174,1,0,26,121,0,2,22,226,1,56,0,263,0,10,129,"1,349,630",
,Total all ages,"32,189",704,"4,136",12,62,110,520,454,"3,366",257,59,"4,431",118,301,20,105,961,130,37,112,"3,188",1,81,"4,095",910,3,860,2,"11,984",0,10,,,
MARYLAND5,Under 18,709,81,279,0,7,58,16,102,126,51,0,79,0,0,0,1,31,30,0,8,110,0,0,3,19,0,10,0,58,0,0,6,"1,124,569",
,Total all ages,"8,248",589,"1,851",16,83,170,320,305,"1,372",173,1,622,28,54,3,9,162,172,14,26,"1,386",0,23,"1,621",508,3,335,3,839,0,0,,,
MASSACHUSETTS,Under 18,"3,159",388,490,1,13,81,293,175,218,79,18,757,10,23,0,100,262,62,0,36,92,0,15,31,69,7,95,0,722,0,0,339,"5,984,273",
,Total all ages,"76,381","5,948","6,310",39,254,534,"5,121","1,102","4,646",493,69,"14,781",247,565,44,787,"1,901",974,107,272,"5,708",10,"1,140","6,597",598,"1,381","2,085",12,"26,913",1,0,,,
MICHIGAN,Under 18,"7,354",806,"1,487",20,130,152,504,326,881,257,23,"1,786",18,71,34,234,300,303,9,95,229,0,2,139,172,1,230,0,"1,323",0,115,621,"9,517,637",
,Total all ages,"158,199","12,774","14,782",347,753,"1,047","10,627","2,322","11,088","1,185",187,"26,410",498,"2,166",651,"2,121","2,636","9,312",211,482,"10,963",12,875,"20,416","2,890",124,"3,678",42,"47,041",0,115,,,
MINNESOTA,Under 18,"10,504",747,"2,033",14,70,355,308,199,"1,457",349,28,"1,364",15,127,4,264,461,224,0,76,789,2,5,177,"1,034",0,834,0,"1,921",0,427,354,"5,269,267",
,Total all ages,"112,814","5,424","17,889",142,465,"1,014","3,803","1,857","14,715","1,201",116,"12,532",846,"2,904",44,"2,219","2,337","2,359",25,491,"13,875",6,300,"16,981","4,106",23,"5,166",151,"24,709",0,427,,,
MISSISSIPPI,Under 18,"1,367",92,339,6,2,41,43,61,248,28,2,212,0,7,1,21,30,62,1,5,106,1,16,35,14,8,188,1,180,0,48,75,"1,135,598",
,Total all ages,"35,473",918,"3,541",95,60,182,581,625,"2,660",238,18,"3,095",99,320,124,338,318,667,9,80,"5,283",4,379,"4,727",248,"1,157","2,280",12,"11,826",0,48,,,
MISSOURI,Under 18,"8,644",714,"1,413",19,49,191,455,229,932,236,16,"1,414",16,33,24,356,381,131,0,69,893,0,32,135,293,6,572,1,"1,715",0,446,259,"4,935,179",
,Total all ages,"139,175","8,528","18,691",375,397,"1,085","6,671","2,605","14,066","1,898",122,"15,739",735,"1,243",200,"3,006","3,437","2,910",39,358,"24,691",6,913,"13,687","1,811",181,"5,530",389,"36,635",0,446,,,
MONTANA,Under 18,"3,258",199,486,3,10,13,173,35,393,50,8,415,1,6,3,14,194,5,1,22,193,0,80,69,486,135,244,0,521,0,184,97,"1,069,494",
,Total all ages,"30,254","2,147","4,028",29,62,110,"1,946",304,"3,383",307,34,"4,395",114,125,32,190,"1,025",72,5,118,"2,364",1,863,"3,914","1,315",447,"2,329",3,"6,583",0,184,,,
NEBRASKA,Under 18,"4,634",170,918,2,26,77,65,53,740,108,17,806,4,53,5,95,344,78,0,33,548,0,176,43,256,6,153,0,857,1,88,72,"1,092,666",
,Total all ages,"35,682","1,675","4,765",35,194,256,"1,190",294,"4,097",315,59,"5,765",141,572,25,522,"1,372",669,24,200,"4,431",1,694,"3,152","1,130",331,"1,753",9,"8,354",9,88,,,
NEVADA,Under 18,"6,339",472,653,6,57,194,215,133,449,59,12,"1,606",3,98,5,135,218,149,29,55,806,8,19,62,341,149,259,1,"1,010",12,249,52,"3,130,836",
,Total all ages,"110,516","5,816","8,106",134,360,"1,189","4,133","2,148","5,284",574,100,"19,503",409,"1,399",242,"1,822","2,026","2,624","2,099",765,"10,130",26,724,"9,530","1,906",224,"2,032",573,"40,221",90,249,,,
NEW HAMPSHIRE,Under 18,"2,313",42,163,0,5,6,31,10,126,22,5,405,4,8,3,11,148,1,0,27,196,0,7,36,250,96,44,0,858,0,14,181,"1,311,307",
,Total all ages,"35,548",655,"2,724",2,71,107,475,234,"2,325",143,22,"4,920",165,456,62,370,"1,010",126,23,100,"4,382",1,140,"3,919","1,406","1,749",799,118,"12,409",0,14,,,
NEW JERSEY,Under 18,"8,448",717,"1,442",18,42,324,333,336,932,134,40,554,20,40,6,444,362,407,1,94,"1,771",19,35,60,202,3,594,10,"1,448",2,217,577,"8,882,371",
,Total all ages,"168,018","8,937","16,124",164,327,"1,781","6,665","2,783","12,595",587,159,"18,869",580,"1,885",107,"2,448","2,828","3,636",300,778,"37,799",65,"2,658","14,316",927,69,"7,577",143,"47,699",56,217,,,
NEW MEXICO,Under 18,601,82,69,1,3,19,59,25,32,11,1,132,1,1,0,16,32,21,0,2,27,0,18,20,33,0,14,0,133,0,0,17,"930,644",
,Total all ages,"28,483","2,264","3,115",20,42,178,"2,024",372,"2,529",191,23,"4,677",19,99,52,496,"1,146",327,34,14,"1,317",0,"2,032","2,291",618,6,665,77,"9,232",2,0,,,
NEW YORK7,Under 18,"6,317",809,"1,816",26,116,317,350,394,"1,008",383,31,777,19,29,2,308,898,171,0,136,542,0,8,58,21,0,95,0,628,0,0,453,"9,397,374",
,Total all ages,"152,107","9,218","29,730",259,694,"1,744","6,521","4,088","23,644","1,786",212,"18,313","1,343","1,486",20,"2,277","9,942","2,629",167,"1,092","33,690",35,295,"17,047",214,0,"1,607",137,"22,865",0,0,,,
NORTH CAROLINA,Under 18,"6,962",648,"1,936",29,19,326,274,491,"1,136",276,33,"1,067",3,67,15,370,240,203,2,25,627,0,5,109,52,8,245,0,"1,307",0,33,288,"8,731,507",
,Total all ages,"197,222","10,029","25,582",469,199,"2,157","7,204","5,724","18,340","1,274",244,"21,359",644,"2,606",629,"3,429","2,562","3,295",150,365,"33,156",17,"2,925","11,646",834,836,"2,525",89,"74,511",0,33,,,
NORTH DAKOTA,Under 18,"3,595",90,365,0,12,7,71,53,241,67,4,449,8,31,3,36,153,13,0,26,336,0,231,55,450,5,456,0,718,0,170,103,"759,161",
,Total all ages,"32,614","1,010","2,931",25,51,64,870,363,"2,244",305,19,"3,138",164,542,36,343,477,284,14,81,"4,593",0,408,"4,454","2,655",290,"1,755",8,"9,260",1,170,,,
OHIO,Under 18,"13,308",720,"1,829",20,63,306,331,373,"1,197",232,27,"3,141",5,81,1,331,587,267,0,63,621,0,31,43,389,12,820,0,"4,039",1,327,393,"8,804,775",
